record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,consumer_segment_id,country_geo_id,channel_id,segment_name,income_band,adoption_profile,price_sensitivity,brand_loyalty,upgrade_cycle_months,launch_affinity,promotion_response,monthly_demand_profile_id
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,US_PREMIUM_EARLY,COUNTRY_US,US_APPLE_ONLINE,Premium Early Adopter,HIGH,EARLY,0.2,0.92,24,0.96,0.2,MDP_US_PREMIUM_EARLY
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,US_MAINSTREAM,COUNTRY_US,US_CARRIER,Premium Mainstream,MID_HIGH,MAINSTREAM,0.35,0.82,30,0.7,0.35,MDP_US_MAINSTREAM
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CA_PREMIUM,COUNTRY_CA,CA_APPLE_ONLINE,Canada Premium,HIGH,EARLY,0.25,0.88,26,0.86,0.22,MDP_CA_PREMIUM
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,MX_VALUE,COUNTRY_MX,MX_LARGE_RETAIL,Mexico Value,MID,MAINSTREAM,0.6,0.55,36,0.45,0.55,MDP_MX_VALUE
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,DE_PREMIUM,COUNTRY_DE,DE_APPLE_ONLINE,Germany Premium,HIGH,EARLY,0.28,0.86,28,0.82,0.25,MDP_DE_PREMIUM
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,FR_MAINSTREAM,COUNTRY_FR,FR_CARRIER,France Mainstream,MID_HIGH,MAINSTREAM,0.38,0.76,31,0.65,0.4,MDP_FR_MAINSTREAM
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,UK_PREMIUM,COUNTRY_UK,UK_APPLE_ONLINE,UK Premium,HIGH,EARLY,0.25,0.89,25,0.85,0.22,MDP_UK_PREMIUM
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IN_VALUE_SWITCHER,COUNTRY_IN,IN_LARGE_RETAIL,India Value Switcher,MID,MAINSTREAM,0.72,0.5,34,0.35,0.65,MDP_IN_VALUE_SWITCHER
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,IN_PREMIUM_ASPIRER,COUNTRY_IN,IN_ECOM,India Premium Aspirer,MID_HIGH,EARLY,0.48,0.7,30,0.58,0.48,MDP_IN_PREMIUM_ASPIRER
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CN_PREMIUM_EARLY,COUNTRY_CN,CN_APPLE_ONLINE,China Premium Early,HIGH,EARLY,0.22,0.9,23,0.93,0.18,MDP_CN_PREMIUM_EARLY
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CN_MAINSTREAM,COUNTRY_CN,CN_ECOM,China Mainstream,MID_HIGH,MAINSTREAM,0.4,0.74,29,0.62,0.45,MDP_CN_MAINSTREAM
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,JP_REPLACEMENT,COUNTRY_JP,JP_CARRIER,Japan Replacement Cycle,HIGH,MAINSTREAM,0.3,0.91,24,0.6,0.28,MDP_JP_REPLACEMENT
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,SG_PREMIUM,COUNTRY_SG,SG_APPLE_ONLINE,Singapore Premium,HIGH,EARLY,0.22,0.9,24,0.88,0.22,MDP_SG_PREMIUM
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,TH_VALUE,COUNTRY_TH,TH_DISTRIBUTOR,Thailand Value,MID,MAINSTREAM,0.58,0.6,35,0.42,0.58,MDP_TH_VALUE
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,VN_YOUTH,COUNTRY_VN,VN_DISTRIBUTOR,Vietnam Youth Digital Heavy,MID,EARLY,0.5,0.62,32,0.55,0.54,MDP_VN_YOUTH
